V(Au),sV(Au),V(6H),sV(6H),T(6H),sT(6H)
5.624526486999999975e+01,2.602901100000000120e-02,1.033204000000000065e+02,4.669999999999999846e-02,1.736000000000000000e+03,1.202081500000000069e+01
5.624455806000000280e+01,1.070048900000000053e-02,1.032810999999999950e+02,3.860000000000000236e-02,1.750000000000000000e+03,1.555634900000000087e+01
5.621226521999999903e+01,9.425268000000000534e-03,1.032760999999999996e+02,3.960000000000000325e-02,1.712000000000000000e+03,9.192387999999999337e+00
5.622406732999999690e+01,8.211566700000000329e-02,1.033401000000000067e+02,4.000000000000000083e-02,1.868000000000000000e+03,2.121319999999999872e+00
5.617538039000000083e+01,7.127937400000000645e-02,1.033917000000000002e+02,3.690000000000000224e-02,1.776000000000000000e+03,6.363960999999999757e+00
5.620181671000000279e+01,7.437233499999999775e-02,1.032741999999999933e+02,4.349999999999999700e-02,1.810000000000000000e+03,8.555992100000000278e+01
5.618707210000000174e+01,2.557972700000000002e-02,1.032348000000000070e+02,4.130000000000000338e-02,1.918000000000000000e+03,3.889087299999999914e+01
5.622279126000000105e+01,4.052268199999999737e-02,1.032343999999999937e+02,5.090000000000000080e-02,1.898000000000000000e+03,3.040559199999999862e+01
5.619766671000000002e+01,1.933847799999999922e-02,1.032429000000000059e+02,4.290000000000000063e-02,1.955000000000000000e+03,3.040559199999999862e+01
5.622480188000000112e+01,3.999584800000000051e-02,1.032549000000000063e+02,4.179999999999999688e-02,2.063000000000000000e+03,4.949747000000000341e+00
5.620376304999999917e+01,4.559530600000000211e-02,1.032480000000000047e+02,4.050000000000000128e-02,2.020000000000000000e+03,4.242640699999999754e+01
5.628036041000000012e+01,3.708995899999999873e-02,1.032121000000000066e+02,4.839999999999999858e-02,1.988000000000000000e+03,2.757716399999999979e+01
5.638761073999999951e+01,3.407597500000000140e-02,1.035524999999999949e+02,4.429999999999999910e-02,2.014000000000000000e+03,4.596194100000000304e+01
